Estacion,Geometry,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,Geopoint,
Acatitla,"{""type"": ""Point"", ""coordinates"": [-99.00597811, 19.3642515]}",14204,,Acatitla,Metro A,19.3642515,-99.00597811,La Paz - Pantitlán,METRO,"19.3642515,-99.00597811",14204
Aculco,"{""type"": ""Point"", ""coordinates"": [-99.10739779, 19.37292574]}",14087,,Aculco,Metro 8,19.37292574,-99.10739779,Garibaldi - Constitución de 1917,METRO,"19.37292574,-99.10739779",14087
Agrícola Oriental,"{""type"": ""Point"", ""coordinates"": [-99.06982541, 19.40404596]}",14070,,Agrícola Oriental,Metro A,19.40404596,-99.06982541,La Paz - Pantitlán,METRO,"19.40404596,-99.06982541",14070
Allende,"{""type"": ""Point"", ""coordinates"": [-99.13670897, 19.43547387]}",14163,,Allende,Metro 2,19.43547387,-99.13670897,Cuatro Caminos - Tasqueña,METRO,"19.43547387,-99.13670897",14163
Apatlaco,"{""type"": ""Point"", ""coordinates"": [-99.10934, 19.378298]}",14095,,Apatlaco,Metro 8,19.378298,-99.10934,Garibaldi - Constitución de 1917,METRO,"19.378298,-99.10934",14095
Aquiles Serdán,"{""type"": ""Point"", ""coordinates"": [-99.194511, 19.489367]}",14131,,Aquiles Serdán,Metro 7,19.489367,-99.194511,Barranca del Muerto - El Rosario,METRO,"19.489367,-99.194511",14131
Aragón,"{""type"": ""Point"", ""coordinates"": [-99.09598231, 19.45101356]}",14060,,Aragón,Metro 5,19.45101356,-99.09598231,Pantitlán - Politécnico,METRO,"19.45101356,-99.09598231",14060
Atlalilco,"{""type"": ""Point"", ""coordinates"": [-99.10157204, 19.35570839]}",14066,,Atlalilco,Metro Línea 8 correspondencia con línea 12.,19.35570839,-99.10157204,Garibaldi - Constitución de 1917,METRO,"19.35570839,-99.10157204",14066
Atlalilco,"{""type"": ""Point"", ""coordinates"": [-99.10632491, 19.35264126]}",42427,,Atlalilco_1,Metro Línea 12 correspondencia con línea 8.,19.35264126,-99.10632491,Tláhuac - Mixcoac,METRO,"19.35264126,-99.10632491",42427
Auditorio,"{""type"": ""Point"", ""coordinates"": [-99.19173717, 19.42530549]}",14115,,Auditorio,Metro 7,19.42530549,-99.19173717,Barranca del Muerto - El Rosario,METRO,"19.42530549,-99.19173717",14115
Autobuses del Norte,"{""type"": ""Point"", ""coordinates"": [-99.140471, 19.478595]}",14193,,Autobuses del Norte,Metro 5,19.478595,-99.140471,Pantitlán - Politécnico,METRO,"19.478595,-99.140471",14193
Azcapotzalco,"{""type"": ""Point"", ""coordinates"": [-99.18621182, 19.49067553]}",14129,,Azcapotzalco_1,Metro 6,19.49067553,-99.18621182,Martín Carrera - El Rosario,METRO,"19.49067553,-99.18621182",14129
