Estacion,Geopoint,stop_id,stop_desc,stop_lat,stop_lon,trip_heads,Estacion
20 de Noviembre,"19.37192372,-99.17099833",14241,Metro 12,19.37192372,-99.17099833,Tláhuac - Mixcoac,20 de Noviembre
Acatitla,"19.3642515,-99.00597811",14204,Metro A,19.3642515,-99.00597811,La Paz - Pantitlán,Acatitla
Aculco,"19.37292574,-99.10739779",14087,Metro 8,19.37292574,-99.10739779,Garibaldi - Constitución de 1917,Aculco
Agrícola Oriental,"19.40404596,-99.06982541",14070,Metro A,19.40404596,-99.06982541,La Paz - Pantitlán,Agrícola Oriental
Allende,"19.43547387,-99.13670897",14163,Metro 2,19.43547387,-99.13670897,Cuatro Caminos - Tasqueña,Allende
Apatlaco,"19.378298,-99.10934",14095,Metro 8,19.378298,-99.10934,Garibaldi - Constitución de 1917,Apatlaco
Aquiles Serdán,"19.489367,-99.194511",14131,Metro 7,19.489367,-99.194511,Barranca del Muerto - El Rosario,Aquiles Serdán
Aragón,"19.45101356,-99.09598231",14060,Metro 5,19.45101356,-99.09598231,Pantitlán - Politécnico,Aragón
Atlalilco,"19.35570839,-99.10157204",14066,Metro Línea 8 correspondencia con línea 12.,19.35570839,-99.10157204,Garibaldi - Constitución de 1917,Atlalilco
Auditorio,"19.42530549,-99.19173717",14115,Metro 7,19.42530549,-99.19173717,Barranca del Muerto - El Rosario,Auditorio
Autobuses del Norte,"19.478595,-99.140471",14193,Metro 5,19.478595,-99.140471,Pantitlán - Politécnico,Autobuses del Norte
Azcapotzalco,"19.49067553,-99.18621182",14129,Metro 6,19.49067553,-99.18621182,Martín Carrera - El Rosario,Azcapotzalco
Balbuena,"19.42288725,-99.10281658",14172,Metro 1,19.42288725,-99.10281658,Observatorio - Pantitlán,Balbuena
Balderas,"19.42692438,-99.1488111",14139,Metro Línea 3 correspondencia con línea 1.,19.42692438,-99.1488111,Indios Verdes - Universidad,Balderas
Barranca del Muerto,"19.3614882,-99.18895841",14080,Metro 7,19.3614882,-99.18895841,Barranca del Muerto - El Rosario,Barranca del Muerto
Bellas Artes,"19.43649573,-99.14061427",14141,Metro Línea 8 correspondencia con línea 2.,19.43649573,-99.14061427,Garibaldi - Constitución de 1917,Bellas Artes
Blvd. Puerto Aéreo,"19.41958866,-99.09606814",14053,Metro 1,19.41958866,-99.09606814,Observatorio - Pantitlán,Blvd. Puerto Aéreo
Bondojito,"19.46450842,-99.1117537",14102,Metro 4,19.46450842,-99.1117537,Martín Carrera - Santa Anita,Bondojito
Bosque de Aragón,"19.45807473,-99.06927824",14219,Metro B,19.45807473,-99.06927824,Buenavista - Ciudad Azteca,Bosque de Aragón
Buenavista,"19.44615757,-99.15289879",14170,Metro B,19.44615757,-99.15289879,Buenavista - Ciudad Azteca,Buenavista
Calle 11,"19.32025578,-99.08486724",14234,Metro 12,19.32025578,-99.08486724,Tláhuac - Mixcoac,Calle 11
Camarones,"19.47873042,-99.18894768",14132,Metro 7,19.47873042,-99.18894768,Barranca del Muerto - El Rosario,Camarones
Canal de San Juan,"19.39821706,-99.05969739",14071,Metro A,19.39821706,-99.05969739,La Paz - Pantitlán,Canal de San Juan
Canal del Norte,"19.44866652,-99.11589503",14181,Metro 4,19.44866652,-99.11589503,Martín Carrera - Santa Anita,Canal del Norte
Candelaria,"19.42909974,-99.11989689",14134,Metro Línea 1 correspondencia con línea 4.,19.42909974,-99.11989689,Observatorio - Pantitlán,Candelaria
Centro Médico,"19.40749665,-99.15531278",14058,Metro Línea 3 correspondencia con línea 9.,19.40749665,-99.15531278,Indios Verdes - Universidad,Centro Médico
Cerro de la Estrella,"19.355601,-99.085872",14203,Metro 8,19.355601,-99.085872,Garibaldi - Constitución de 1917,Cerro de la Estrella
Chabacano,"19.408513,-99.135489",14145,Metro Línea 9 correspondencia con línea 2 y línea 8.,19.408513,-99.135489,Tacubaya - Pantitlán,Chabacano
Chapultepec,"19.42025648,-99.17658806",14119,Metro 1,19.42025648,-99.17658806,Observatorio - Pantitlán,Chapultepec
Chilpancingo,"19.40575613,-99.1683054",14110,Metro 9,19.40575613,-99.1683054,Tacubaya - Pantitlán,Chilpancingo
Ciudad Azteca,"19.53444312,-99.02711391",14208,Metro B,19.53444312,-99.02711391,Buenavista - Ciudad Azteca,Ciudad Azteca
Ciudad Deportiva,"19.40811392,-99.09135818",14069,Metro 9,19.40811392,-99.09135818,Tacubaya - Pantitlán,Ciudad Deportiva
Colegio Militar,"19.44864628,-99.17122364",14124,Metro 2,19.44864628,-99.17122364,Cuatro Caminos - Tasqueña,Colegio Militar
Constitución de 1917,"19.345135,-99.063367",14202,Metro 8,19.345135,-99.063367,Garibaldi - Constitución de 1917,Constitución de 1917
Constituyentes,"19.41129131,-99.19138312",14116,Metro 7,19.41129131,-99.19138312,Barranca del Muerto - El Rosario,Constituyentes
Consulado,"19.45682033,-99.11388874",14185,Metro Línea 4 correspondencia con línea 5.,19.45682033,-99.11388874,Martín Carrera - Santa Anita,Consulado
Copilco,"19.33597857,-99.17657733",14075,Metro 3,19.33597857,-99.17657733,Indios Verdes - Universidad,Copilco
Coyoacán,"19.36142746,-99.17056918",14078,Metro 3,19.36142746,-99.17056918,Indios Verdes - Universidad,Coyoacán
Coyuya,"19.39769,-99.113413",14065,Metro 8,19.39769,-99.113413,Garibaldi - Constitución de 1917,Coyuya
Cuatro Caminos,"19.458454,-99.214643",14117,Metro 2,19.458454,-99.214643,Cuatro Caminos - Tasqueña,Cuatro Caminos
Cuauhtémoc,"19.42565962,-99.15455103",14096,Metro 1,19.42565962,-99.15455103,Observatorio - Pantitlán,Cuauhtémoc
Cuitláhuac,"19.45668,-99.181555",14125,Metro 2,19.45668,-99.181555,Cuatro Caminos - Tasqueña,Cuitláhuac
Culhuacán,"19.33887391,-99.10894275",14237,Metro 12,19.33887391,-99.10894275,Tláhuac - Mixcoac,Culhuacán
Deportivo Oceanía,"19.45077077,-99.07917023",14220,Metro B,19.45077077,-99.07917023,Buenavista - Ciudad Azteca,Deportivo Oceanía
Deptvo. 18 de Marzo,"19.4840507,-99.12543297",14187,Metro Línea 3 correspondencia con línea 6.,19.4840507,-99.12543297,Indios Verdes - Universidad,Deptvo. 18 de Marzo
División del Norte,"19.3789276,-99.15950775",14083,Metro 3,19.3789276,-99.15950775,Indios Verdes - Universidad,División del Norte
Doctores,"19.42049932,-99.14335012",14153,Metro 8,19.42049932,-99.14335012,Garibaldi - Constitución de 1917,Doctores
Eduardo Molina,"19.45112485,-99.10544515",14184,Metro 5,19.45112485,-99.10544515,Pantitlán - Politécnico,Eduardo Molina
Eje Central,"19.36118453,-99.15133238",14239,Metro 12,19.36118453,-99.15133238,Tláhuac - Mixcoac,Eje Central
El Rosario,"19.50522896,-99.19948339",14127,Metro Línea 6 correspondencia con línea 7.,19.50522896,-99.19948339,Martín Carrera - El Rosario,El Rosario
Ermita,"19.36186271,-99.14263129",14086,Metro 2,19.36186271,-99.14263129,Cuatro Caminos - Tasqueña,Ermita
Escuadrón 201,"19.36449442,-99.10931826",14088,Metro 8,19.36449442,-99.10931826,Garibaldi - Constitución de 1917,Escuadrón 201
Etiopía,"19.39604129,-99.15617108",14059,Metro 3,19.39604129,-99.15617108,Indios Verdes - Universidad,Etiopía
Eugenia,"19.38628539,-99.15724397",14074,Metro 3,19.38628539,-99.15724397,Indios Verdes - Universidad,Eugenia
Ferrería,"19.49039233,-99.173702",14133,Metro 6,19.49039233,-99.173702,Martín Carrera - El Rosario,Ferrería
Fray Servando,"19.42149092,-99.12033677",14174,Metro 4,19.42149092,-99.12033677,Martín Carrera - Santa Anita,Fray Servando
Garibaldi,"19.443376,-99.139954",14165,Metro Línea B correspondencia con línea 8.,19.443376,-99.139954,Buenavista - Ciudad Azteca,Garibaldi
General Anaya,"19.35319801,-99.14478779",14089,Metro 2,19.35319801,-99.14478779,Cuatro Caminos - Tasqueña,General Anaya
Gómez Farías,"19.41608763,-99.09070373",14052,Metro 1,19.41608763,-99.09070373,Observatorio - Pantitlán,Gómez Farías
Guelatao,"19.38459525,-99.03579354",14198,Metro A,19.38459525,-99.03579354,La Paz - Pantitlán,Guelatao
Guerrero,"19.44475133,-99.14501309",14164,Metro Línea 3 correspondencia con línea B.,19.44475133,-99.14501309,Indios Verdes - Universidad,Guerrero
Hangares,"19.423251,-99.087095",14213,Metro 5,19.423251,-99.087095,Pantitlán - Politécnico,Hangares
Hidalgo,"19.4376997,-99.14730906",14167,Metro Línea 2 correspondencia con línea 3.,19.4376997,-99.14730906,Cuatro Caminos - Tasqueña,Hidalgo
Hospital General,"19.41369961,-99.1531992",14152,Metro 3,19.41369961,-99.1531992,Indios Verdes - Universidad,Hospital General
Impulsora,"19.484987,-99.048743",14223,Metro B,19.484987,-99.048743,Buenavista - Ciudad Azteca,Impulsora
Indios Verdes,"19.495315,-99.119141",14186,Metro 3,19.495315,-99.119141,Indios Verdes - Universidad,Indios Verdes
Inst. del Petróleo,"19.49054404,-99.14638638",42489,Metro Línea 6 correspondencia con línea 5.,19.49054404,-99.14638638,Martín Carrera - El Rosario,Inst. del Petróleo
Insurgentes,"19.42359552,-99.16325212",14097,Metro 1,19.42359552,-99.16325212,Observatorio - Pantitlán,Insurgentes
Insurgentes Sur,"19.37360387,-99.17859435",14242,Metro 12,19.37360387,-99.17859435,Tláhuac - Mixcoac,Insurgentes Sur
Isabel la Católica,"19.4260947,-99.13782477",14149,Metro 1,19.4260947,-99.13782477,Observatorio - Pantitlán,Isabel la Católica
Iztacalco,"19.388092,-99.112086",14094,Metro 8,19.388092,-99.112086,Garibaldi - Constitución de 1917,Iztacalco
